Weekday,datum,Year,Month,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,M01AB_s_sod,M01AB_s_eod,M01AE_s_sod,M01AE_s_eod,N02BA_s_sod,N02BA_s_eod,N02BE_s_sod,N02BE_s_eod,N05B_s_sod,N05B_s_eod,N05C_s_sod,N05C_s_eod,R03_s_sod,R03_s_eod,R06_s_sod,R06_s_eod
Monday,10/1/2018,2018,10,3,4.932,1,53,10,0,21,3,53.70291667,50.70291667,41.14835417,36.21635417,32.541,31.541,646.4632917,593.4632917,82.06250003,72.06250003,7.125,7.125,139.8854167,118.8854167,23.1525,20.1525
Tuesday,10/2/2018,2018,10,6,3.91,3.5,18.6,7,0,6,0,50.70291667,44.70291667,36.21635417,32.30635417,31.541,28.041,593.4632917,574.8632917,72.06250003,65.06250003,7.125,7.125,118.8854167,112.8854167,20.1525,20.1525
Wednesday,10/3/2018,2018,10,6,3.33,3,34.9,12,2,5,4,44.70291667,38.70291667,32.30635417,28.97635417,28.041,25.041,574.8632917,539.9632917,65.06250003,53.06250003,7.125,5.125,112.8854167,107.8854167,20.1525,16.1525
Thursday,10/4/2018,2018,10,6,3.36,2,32,12,1,5,0,38.70291667,32.70291667,28.97635417,25.61635417,25.041,23.041,539.9632917,507.9632917,53.06250003,41.06250003,5.125,4.125,107.8854167,102.8854167,16.1525,16.1525
Friday,10/5/2018,2018,10,4.84,3.397,1.1,22.8,7,0,14,1,32.70291667,27.86291667,25.61635417,22.21935417,23.041,21.941,507.9632917,485.1632917,41.06250003,34.06250003,4.125,4.125,102.8854167,88.88541667,16.1525,15.1525
Saturday,10/6/2018,2018,10,2,5.36,3.2,59.25,4,0,3,0.1,27.86291667,25.86291667,22.21935417,16.85935417,21.941,18.741,485.1632917,425.9132917,34.06250003,30.06250003,4.125,4.125,88.88541667,85.88541667,15.1525,15.0525
Sunday,10/7/2018,2018,10,2.68,7.35,2,42.4,8,0,9,1,64.86291667,62.18291667,60.85935417,53.50935417,42.741,40.741,425.9132917,383.5132917,154.0625,146.0625,11.125,11.125,197.8854167,188.8854167,15.0525,14.0525
Monday,10/8/2018,2018,10,4,1.68,3,30,18,5,0,3,62.18291667,58.18291667,53.50935417,51.82935417,40.741,37.741,383.5132917,353.5132917,146.0625,128.0625,11.125,6.125,188.8854167,188.8854167,14.0525,11.0525
Tuesday,10/9/2018,2018,10,2,1.67,1,30,18,0,29,1,58.18291667,56.18291667,51.82935417,50.15935417,37.741,36.741,353.5132917,323.5132917,128.0625,110.0625,6.125,6.125,188.8854167,159.8854167,11.0525,10.0525
Wednesday,10/10/2018,2018,10,9,8.01,4.1,41.2,13,0,20,2,56.18291667,47.18291667,50.15935417,42.14935417,36.741,32.641,323.5132917,282.3132917,110.0625,97.06250003,6.125,6.125,159.8854167,139.8854167,10.0525,8.0525
Thursday,10/11/2018,2018,10,2,2.33,2.1,31,15,0,0,1,47.18291667,45.18291667,42.14935417,39.81935417,32.641,30.541,282.3132917,251.3132917,97.06250003,82.06250003,6.125,6.125,139.8854167,139.8854167,8.0525,7.0525
Friday,10/12/2018,2018,10,6.33,4.363,1,26,6,0,1,6,45.18291667,38.85291667,39.81935417,35.45635417,30.541,29.541,251.3132917,225.3132917,82.06250003,76.06250003,6.125,6.125,139.8854167,138.8854167,7.0525,1.0525
Saturday,10/13/2018,2018,10,6.99,4.507,3.25,29.6,8,0,6,1,38.85291667,31.86291667,35.45635417,30.94935417,29.541,26.291,225.3132917,195.7132917,76.06250003,68.06250003,6.125,6.125,138.8854167,132.8854167,1.0525,0.0525
Sunday,10/14/2018,2018,10,2.34,6.01,6.2,51.7,9,2,0,6,84.86291667,82.52291667,73.94935417,67.93935417,56.291,50.091,567.7132917,516.0132917,68.06250003,59.06250003,15.125,13.125,132.8854167,132.8854167,42.0525,36.0525
Monday,10/15/2018,2018,10,7.17,0.066,3,47.6,12,0,5,6,82.52291667,75.35291667,67.93935417,67.87335417,50.091,47.091,516.0132917,468.4132917,59.06250003,47.06250003,13.125,13.125,132.8854167,127.8854167,36.0525,30.0525
Tuesday,10/16/2018,2018,10,6,5.322,2,27.3,5,3,6,0,75.35291667,69.35291667,67.87335417,62.55135417,47.091,45.091,468.4132917,441.1132917,47.06250003,42.06250003,13.125,10.125,127.8854167,121.8854167,30.0525,30.0525
Wednesday,10/17/2018,2018,10,2.33,6,4,52.2,5,0,1,4,69.35291667,67.02291667,62.55135417,56.55135417,45.091,41.091,441.1132917,388.9132917,42.06250003,37.06250003,10.125,10.125,121.8854167,120.8854167,30.0525,26.0525
Thursday,10/18/2018,2018,10,4.34,3,1.1,14,9,1,10,5,67.02291667,62.68291667,56.55135417,53.55135417,41.091,39.991,388.9132917,374.9132917,37.06250003,28.06250003,10.125,9.125,120.8854167,110.8854167,26.0525,21.0525
Friday,10/19/2018,2018,10,4,2.066,0,10.6,5,2,6,4,62.68291667,58.68291667,53.55135417,51.48535417,39.991,39.991,374.9132917,364.3132917,28.06250003,23.06250003,9.125,7.125,110.8854167,104.8854167,21.0525,17.0525
Saturday,10/20/2018,2018,10,2.34,2.02,2,33,9,0,34,5,58.68291667,56.34291667,51.48535417,49.46535417,39.991,37.991,364.3132917,331.3132917,23.06250003,14.06250003,7.125,7.125,104.8854167,70.88541667,17.0525,12.0525
Sunday,10/21/2018,2018,10,6.67,8.69,1,56.3,5,3,5,1,56.34291667,49.67291667,49.46535417,40.77535417,37.991,36.991,710.3132917,654.0132917,96.06250003,91.06250003,7.125,4.125,260.8854167,255.8854167,40.0525,39.0525
Monday,10/22/2018,2018,10,2.66,7.01,3.3,18.8,8,0,28,1.3,49.67291667,47.01291667,40.77535417,33.76535417,36.991,33.691,654.0132917,635.2132917,91.06250003,83.06250003,4.125,4.125,255.8854167,227.8854167,39.0525,37.7525
Tuesday,10/23/2018,2018,10,2.34,2,0.45,44.8,9,1,11,3,47.01291667,44.67291667,33.76535417,31.76535417,33.691,33.241,635.2132917,590.4132917,83.06250003,74.06250003,4.125,3.125,227.8854167,216.8854167,37.7525,34.7525
Wednesday,10/24/2018,2018,10,4,2.109,5,37.2,7,0,10,1.5,44.67291667,40.67291667,31.76535417,29.65635417,33.241,28.241,590.4132917,553.2132917,74.06250003,67.06250003,3.125,3.125,216.8854167,206.8854167,34.7525,33.2525
Thursday,10/25/2018,2018,10,5.33,5.429,3,52.2,12,0,33,3,40.67291667,35.34291667,29.65635417,24.22735417,28.241,25.241,553.2132917,501.0132917,67.06250003,55.06250003,3.125,3.125,206.8854167,173.8854167,33.2525,30.2525
Friday,10/26/2018,2018,10,4,5.373,4.6,44,14,1,14,1,35.34291667,31.34291667,24.22735417,18.85435417,25.241,20.641,501.0132917,457.0132917,55.06250003,41.06250003,3.125,2.125,173.8854167,159.8854167,30.2525,29.2525
Saturday,10/27/2018,2018,10,8.34,3.426,2.2,49.975,12,1,7,2,31.34291667,23.00291667,18.85435417,15.42835417,20.641,18.441,457.0132917,407.0382917,41.06250003,29.06250003,2.125,1.125,159.8854167,152.8854167,29.2525,27.2525
Sunday,10/28/2018,2018,10,5.33,5.33,1.6,53.75,9,3,13,3,86.00291667,80.67291667,53.42835417,48.09835417,44.441,42.841,407.0382917,353.2882917,119.0625,110.0625,13.125,10.125,152.8854167,139.8854167,27.2525,24.2525
Monday,10/29/2018,2018,10,5.35,2.67,2.35,32.8,5,0,10,3,80.67291667,75.32291667,48.09835417,45.42835417,42.841,40.491,353.2882917,320.4882917,110.0625,105.0625,10.125,10.125,139.8854167,129.8854167,24.2525,21.2525
Tuesday,10/30/2018,2018,10,9.33,4,1,18.2,7,0,13,1,75.32291667,65.99291667,45.42835417,41.42835417,40.491,39.491,320.4882917,302.2882917,105.0625,98.06250003,10.125,10.125,129.8854167,116.8854167,21.2525,20.2525
Wednesday,10/31/2018,2018,10,2,4.68,3,34.1,7,0,2,2,65.99291667,63.99291667,41.42835417,36.74835417,39.491,36.491,302.2882917,268.1882917,98.06250003,91.06250003,10.125,10.125,116.8854167,114.8854167,20.2525,18.2525
Thursday,11/1/2018,2018,11,7.84,0.34,3,25,6,3,7,0,63.99291667,56.15291667,36.74835417,36.40835417,36.491,33.491,268.1882917,243.1882917,91.06250003,85.06250003,10.125,7.125,114.8854167,107.8854167,18.2525,18.2525
Friday,11/2/2018,2018,11,5.14,1.845,0,32.6,8.2,0,1,3.3,56.15291667,51.01291667,36.40835417,34.56335417,33.491,33.491,243.1882917,210.5882917,85.06250003,76.86250003,7.125,7.125,107.8854167,106.8854167,18.2525,14.9525
Saturday,11/3/2018,2018,11,3,3,6.2,45.4,2,0,0,2,51.01291667,48.01291667,34.56335417,31.56335417,33.491,27.291,210.5882917,165.1882917,76.86250003,74.86250003,7.125,7.125,106.8854167,106.8854167,14.9525,12.9525
Sunday,11/4/2018,2018,11,13.99,4.896,0,52,7,0,13,1,110.0129167,96.02291667,31.56335417,26.66735417,74.291,74.291,575.1882917,523.1882917,162.8625,155.8625,7.125,7.125,106.8854167,93.88541667,31.9525,30.9525
Monday,11/5/2018,2018,11,6.33,2.34,6,29,14,0,13,2.3,96.02291667,89.69291667,26.66735417,24.32735417,74.291,68.291,523.1882917,494.1882917,155.8625,141.8625,7.125,7.125,93.88541667,80.88541667,30.9525,28.6525
Tuesday,11/6/2018,2018,11,3.33,6.68,10.55,37.7,8,0,13,2.5,89.69291667,86.36291667,24.32735417,17.64735417,68.291,57.741,494.1882917,456.4882917,141.8625,133.8625,7.125,7.125,80.88541667,67.88541667,28.6525,26.1525
Wednesday,11/7/2018,2018,11,7,1.863,3,38.9,15,3,8,0,86.36291667,79.36291667,17.64735417,15.78435417,57.741,54.741,456.4882917,417.5882917,133.8625,118.8625,7.125,4.125,67.88541667,59.88541667,26.1525,26.1525
Thursday,11/8/2018,2018,11,3,1.573,6,38,5,0,16,2,79.36291667,76.36291667,15.78435417,14.21135417,54.741,48.741,417.5882917,379.5882917,118.8625,113.8625,4.125,4.125,59.88541667,43.88541667,26.1525,24.1525
Friday,11/9/2018,2018,11,5,0.67,5,43,7,1,22,0,76.36291667,71.36291667,14.21135417,13.54135417,48.741,43.741,379.5882917,336.5882917,113.8625,106.8625,4.125,3.125,43.88541667,21.88541667,24.1525,24.1525
Saturday,11/10/2018,2018,11,4.33,2.417,2,35.6,7,1,11,1.1,71.36291667,67.03291667,13.54135417,11.12435417,43.741,41.741,336.5882917,300.9882917,106.8625,99.86250003,3.125,2.125,21.88541667,10.88541667,24.1525,23.0525
Sunday,11/11/2018,2018,11,11,4.246,2,33.65,14,0,10,1,67.03291667,56.03291667,46.12435417,41.87835417,41.741,39.741,682.9882917,649.3382917,99.86250003,85.86250003,11.125,11.125,181.8854167,171.8854167,23.0525,22.0525
Monday,11/12/2018,2018,11,2.34,2.33,7,35,15,2,24,1,56.03291667,53.69291667,41.87835417,39.54835417,39.741,32.741,649.3382917,614.3382917,85.86250003,70.86250003,11.125,9.125,171.8854167,147.8854167,22.0525,21.0525
Tuesday,11/13/2018,2018,11,6.33,5.35,6,29.7,18,0,18,3,53.69291667,47.36291667,39.54835417,34.19835417,32.741,26.741,614.3382917,584.6382917,70.86250003,52.86250003,9.125,9.125,147.8854167,129.8854167,21.0525,18.0525
Wednesday,11/14/2018,2018,11,5.66,4.67,3,28.4,9,0,0,0,47.36291667,41.70291667,34.19835417,29.52835417,26.741,23.741,584.6382917,556.2382917,52.86250003,43.86250003,9.125,9.125,129.8854167,129.8854167,18.0525,18.0525
Thursday,11/15/2018,2018,11,2,4.083,2,49.6,3,2,29,0,41.70291667,39.70291667,29.52835417,25.44535417,23.741,21.741,556.2382917,506.6382917,43.86250003,40.86250003,9.125,7.125,129.8854167,100.8854167,18.0525,18.0525
Friday,11/16/2018,2018,11,8.33,2.66,4,21.5,6,0,6,0.4,39.70291667,31.37291667,25.44535417,22.78535417,21.741,17.741,506.6382917,485.1382917,40.86250003,34.86250003,7.125,7.125,100.8854167,94.88541667,18.0525,17.6525
Saturday,11/17/2018,2018,11,8,2.34,1,39,5,0,13,2,31.37291667,23.37291667,22.78535417,20.44535417,17.741,16.741,485.1382917,446.1382917,34.86250003,29.86250003,7.125,7.125,94.88541667,81.88541667,17.6525,15.6525
Sunday,11/18/2018,2018,11,4.68,4.68,5,32.9,7,1,10,1,94.37291667,89.69291667,57.44535417,52.76535417,49.741,44.741,446.1382917,413.2382917,92.86250003,85.86250003,14.125,13.125,81.88541667,71.88541667,15.6525,14.6525
Monday,11/19/2018,2018,11,6.01,2.44,2,47.2,6,3,3,0,89.69291667,83.68291667,52.76535417,50.32535417,44.741,42.741,413.2382917,366.0382917,85.86250003,79.86250003,13.125,10.125,71.88541667,68.88541667,14.6525,14.6525
Tuesday,11/20/2018,2018,11,5.33,3.803,4,31.5,4,1,10,3,83.68291667,78.35291667,50.32535417,46.52235417,42.741,38.741,366.0382917,334.5382917,79.86250003,75.86250003,10.125,9.125,68.88541667,58.88541667,14.6525,11.6525
Wednesday,11/21/2018,2018,11,7,2.34,3.25,22,5,0,5,1,78.35291667,71.35291667,46.52235417,44.18235417,38.741,35.491,334.5382917,312.5382917,75.86250003,70.86250003,9.125,9.125,58.88541667,53.88541667,11.6525,10.6525
Thursday,11/22/2018,2018,11,8,7.066,3,22.4,9,0,15,2,71.35291667,63.35291667,44.18235417,37.11635417,35.491,32.491,312.5382917,290.1382917,70.86250003,61.86250003,9.125,9.125,53.88541667,38.88541667,10.6525,8.6525
Friday,11/23/2018,2018,11,6,4.472,3,29.6,13,1,24,3,63.35291667,57.35291667,37.11635417,32.64435417,32.491,29.491,290.1382917,260.5382917,61.86250003,48.86250003,9.125,8.125,38.88541667,14.88541667,8.6525,5.6525
Saturday,11/24/2018,2018,11,5.66,5.78,5,29.2,11,0,7,0.3,57.35291667,51.69291667,32.64435417,26.86435417,29.491,24.491,260.5382917,231.3382917,48.86250003,37.86250003,8.125,8.125,14.88541667,7.885416665,5.6525,5.3525
Sunday,11/25/2018,2018,11,5.33,3.593,3.15,19.1,6,1,3,2,51.69291667,46.36291667,72.86435417,69.27135417,24.491,21.341,535.3382917,516.2382917,140.8625,134.8625,8.125,7.125,103.8854167,100.8854167,30.3525,28.3525
Monday,11/26/2018,2018,11,5.33,2.34,2,36.3,15,1,16,3,46.36291667,41.03291667,69.27135417,66.93135417,21.341,19.341,516.2382917,479.9382917,134.8625,119.8625,7.125,6.125,100.8854167,84.88541667,28.3525,25.3525
Tuesday,11/27/2018,2018,11,8,4.67,2,41.5,2,0,5,2,41.03291667,33.03291667,66.93135417,62.26135417,19.341,17.341,479.9382917,438.4382917,119.8625,117.8625,6.125,6.125,84.88541667,79.88541667,25.3525,23.3525
Wednesday,11/28/2018,2018,11,3,5.67,1,24.4,15,2,8,4,33.03291667,30.03291667,62.26135417,56.59135417,17.341,16.341,438.4382917,414.0382917,117.8625,102.8625,6.125,4.125,79.88541667,71.88541667,23.3525,19.3525
Thursday,11/29/2018,2018,11,4.33,4.32,1,22.6,7,0,1,3,30.03291667,25.70291667,56.59135417,52.27135417,16.341,15.341,414.0382917,391.4382917,102.8625,95.86250003,4.125,4.125,71.88541667,70.88541667,19.3525,16.3525
Friday,11/30/2018,2018,11,1,3.01,1,22.4,3,0,0,2.5,25.70291667,24.70291667,52.27135417,49.26135417,15.341,14.341,391.4382917,369.0382917,95.86250003,92.86250003,4.125,4.125,70.88541667,70.88541667,16.3525,13.8525
Saturday,12/1/2018,2018,12,7,8.779,2.05,41,7,3,13,2,24.70291667,17.70291667,49.26135417,40.48235417,14.341,12.291,369.0382917,328.0382917,92.86250003,85.86250003,4.125,1.125,70.88541667,57.88541667,13.8525,11.8525
Sunday,12/2/2018,2018,12,3.17,5.779,10,65.7,6,0,27,8,54.70291667,51.53291667,40.48235417,34.70335417,44.291,34.291,328.0382917,262.3382917,85.86250003,79.86250003,5.125,5.125,166.8854167,139.8854167,38.8525,30.8525
Monday,12/3/2018,2018,12,6,5.083,2.1,44,13,0,13,1,51.53291667,45.53291667,34.70335417,29.62035417,34.291,32.191,262.3382917,218.3382917,79.86250003,66.86250003,5.125,5.125,139.8854167,126.8854167,30.8525,29.8525
Tuesday,12/4/2018,2018,12,2.5,3,3,32.2,11,0,5,3,45.53291667,43.03291667,29.62035417,26.62035417,32.191,29.191,218.3382917,186.1382917,66.86250003,55.86250003,5.125,5.125,126.8854167,121.8854167,29.8525,26.8525
Wednesday,12/5/2018,2018,12,5.33,3.726,3.5,41.3,13,0,15,2,43.03291667,37.70291667,26.62035417,22.89435417,29.191,25.691,186.1382917,144.8382917,55.86250003,42.86250003,5.125,5.125,121.8854167,106.8854167,26.8525,24.8525
Thursday,12/6/2018,2018,12,0,0,0,0,0,0,0,0,37.70291667,37.70291667,22.89435417,22.89435417,25.691,25.691,144.8382917,144.8382917,42.86250003,42.86250003,5.125,5.125,106.8854167,106.8854167,24.8525,24.8525
Friday,12/7/2018,2018,12,5,3.01,3,47.4,14,0,12,3,37.70291667,32.70291667,22.89435417,19.88435417,25.691,22.691,144.8382917,97.43829166,42.86250003,28.86250003,5.125,5.125,106.8854167,94.88541667,24.8525,21.8525
Saturday,12/8/2018,2018,12,0,0,0,0,0,0,0,0,32.70291667,32.70291667,19.88435417,19.88435417,22.691,22.691,97.43829166,97.43829166,28.86250003,28.86250003,5.125,5.125,94.88541667,94.88541667,21.8525,21.8525
Sunday,12/9/2018,2018,12,4.66,6.69,4.1,57.7,9,0,11,0,70.70291667,66.04291667,53.88435417,47.19435417,56.691,52.591,460.4382917,402.7382917,124.8625,115.8625,11.125,11.125,94.88541667,83.88541667,21.8525,21.8525
Monday,12/10/2018,2018,12,4,5,1.5,23.8,12,1,7,1,66.04291667,62.04291667,47.19435417,42.19435417,52.591,51.091,402.7382917,378.9382917,115.8625,103.8625,11.125,10.125,83.88541667,76.88541667,21.8525,20.8525
Tuesday,12/11/2018,2018,12,4,4.01,8.35,28,12,3,2,5.5,62.04291667,58.04291667,42.19435417,38.18435417,51.091,42.741,378.9382917,350.9382917,103.8625,91.86250003,10.125,7.125,76.88541667,74.88541667,20.8525,15.3525
Wednesday,12/12/2018,2018,12,4.33,2,3,37.6,11,0,21,0,58.04291667,53.71291667,38.18435417,36.18435417,42.741,39.741,350.9382917,313.3382917,91.86250003,80.86250003,7.125,7.125,74.88541667,53.88541667,15.3525,15.3525
Thursday,12/13/2018,2018,12,3.68,2.243,3,47.5,6,0,6,0,53.71291667,50.03291667,36.18435417,33.94135417,39.741,36.741,313.3382917,265.8382917,80.86250003,74.86250003,7.125,7.125,53.88541667,47.88541667,15.3525,15.3525
Friday,12/14/2018,2018,12,2,2,0.2,23.4,2,1,29,1,50.03291667,48.03291667,33.94135417,31.94135417,36.741,36.541,265.8382917,242.4382917,74.86250003,72.86250003,7.125,6.125,47.88541667,18.88541667,15.3525,14.3525
Saturday,12/15/2018,2018,12,4,2.34,3.45,62.4,5,0,12,2.3,48.03291667,44.03291667,31.94135417,29.60135417,36.541,33.091,242.4382917,180.0382917,72.86250003,67.86250003,6.125,6.125,18.88541667,6.885416665,14.3525,12.0525
Sunday,12/16/2018,2018,12,1.33,4.32,0.2,27,3,0,7,1,44.03291667,42.70291667,29.60135417,25.28135417,33.091,32.891,520.0382917,493.0382917,67.86250003,64.86250003,18.125,18.125,126.8854167,119.8854167,12.0525,11.0525
Monday,12/17/2018,2018,12,6.34,2.01,5,53,6,1,22,2,42.70291667,36.36291667,25.28135417,23.27135417,32.891,27.891,493.0382917,440.0382917,64.86250003,58.86250003,18.125,17.125,119.8854167,97.88541667,11.0525,9.0525
Tuesday,12/18/2018,2018,12,0.33,2.473,1,34.5,12,3,9,2,36.36291667,36.03291667,23.27135417,20.79835417,27.891,26.891,440.0382917,405.5382917,58.86250003,46.86250003,17.125,14.125,97.88541667,88.88541667,9.0525,7.0525
Wednesday,12/19/2018,2018,12,0,0,0,0,0,0,0,0,36.03291667,36.03291667,20.79835417,20.79835417,26.891,26.891,405.5382917,405.5382917,46.86250003,46.86250003,14.125,14.125,88.88541667,88.88541667,7.0525,7.0525
Thursday,12/20/2018,2018,12,8.34,1.66,1,27,12,3,1,0,36.03291667,27.69291667,20.79835417,19.13835417,26.891,25.891,405.5382917,378.5382917,46.86250003,34.86250003,14.125,11.125,88.88541667,87.88541667,7.0525,7.0525
Friday,12/21/2018,2018,12,2,1.35,0,35,12,1,13,1,27.69291667,25.69291667,19.13835417,17.78835417,25.891,25.891,378.5382917,343.5382917,34.86250003,22.86250003,11.125,10.125,87.88541667,74.88541667,7.0525,6.0525
Saturday,12/22/2018,2018,12,8.34,3.34,4.5,43.4,3,1,0,0,25.69291667,17.35291667,17.78835417,14.44835417,25.891,21.391,343.5382917,300.1382917,22.86250003,19.86250003,10.125,9.125,74.88541667,74.88541667,6.0525,6.0525
Sunday,12/23/2018,2018,12,12.33,6.406,2.3,47.7,8,0,13,4,83.35291667,71.02291667,51.44835417,45.04235417,48.391,46.091,736.1382917,688.4382917,121.8625,113.8625,9.125,9.125,186.8854167,173.8854167,21.0525,17.0525
Monday,12/24/2018,2018,12,8.67,4.35,1,32,20,0,8,1,71.02291667,62.35291667,45.04235417,40.69235417,46.091,45.091,688.4382917,656.4382917,113.8625,93.86250003,9.125,9.125,173.8854167,165.8854167,17.0525,16.0525
Tuesday,12/25/2018,2018,12,8,6.076,5.1,42.6,9,3,21,2,62.35291667,54.35291667,40.69235417,34.61635417,45.091,39.991,656.4382917,613.8382917,93.86250003,84.86250003,9.125,6.125,165.8854167,144.8854167,16.0525,14.0525
Wednesday,12/26/2018,2018,12,1,0.66,2.15,50,8,1,13,2,54.35291667,53.35291667,34.61635417,33.95635417,39.991,37.841,613.8382917,563.8382917,84.86250003,76.86250003,6.125,5.125,144.8854167,131.8854167,14.0525,12.0525
Thursday,12/27/2018,2018,12,3.68,3.01,3.05,40.6,8,0,7,0,53.35291667,49.67291667,33.95635417,30.94635417,37.841,34.791,563.8382917,523.2382917,76.86250003,68.86250003,5.125,5.125,131.8854167,124.8854167,12.0525,12.0525
Friday,12/28/2018,2018,12,11.67,5.845,1,56.4,11,4,9,0,49.67291667,38.00291667,30.94635417,25.10135417,34.791,33.791,523.2382917,466.8382917,68.86250003,57.86250003,5.125,1.125,124.8854167,115.8854167,12.0525,12.0525
Saturday,12/29/2018,2018,12,6.68,5.611,1,68.35,5,0,7,2,38.00291667,31.32291667,25.10135417,19.49035417,33.791,32.791,466.8382917,398.4882917,57.86250003,52.86250003,1.125,1.125,115.8854167,108.8854167,12.0525,10.0525
Sunday,12/30/2018,2018,12,5.33,7.593,5,59.9,6,0,31,3.3,93.32291667,87.99291667,68.49035417,60.89735417,32.791,27.791,398.4882917,338.5882917,52.86250003,46.86250003,7.125,7.125,108.8854167,77.88541667,26.0525,22.7525
Monday,12/31/2018,2018,12,8,4.66,5.2,44.5,10,0,6,4,87.99291667,79.99291667,60.89735417,56.23735417,27.791,22.591,338.5882917,294.0882917,46.86250003,36.86250003,7.125,7.125,77.88541667,71.88541667,22.7525,18.7525
Tuesday,1/1/2019,2019,1,0,0,0,0,0,0,0,0,79.99291667,79.99291667,56.23735417,56.23735417,22.591,22.591,294.0882917,294.0882917,36.86250003,36.86250003,7.125,7.125,71.88541667,71.88541667,18.7525,18.7525
Wednesday,1/2/2019,2019,1,5.33,4.397,4.15,36.8,4,0,9,2,79.99291667,74.66291667,56.23735417,51.84035417,22.591,18.441,294.0882917,257.2882917,36.86250003,32.86250003,7.125,7.125,71.88541667,62.88541667,18.7525,16.7525
Thursday,1/3/2019,2019,1,4.33,4.836,6.25,42.4,6,0,9,0,74.66291667,70.33291667,51.84035417,47.00435417,18.441,12.191,257.2882917,214.8882917,32.86250003,26.86250003,7.125,7.125,62.88541667,53.88541667,16.7525,16.7525
Friday,1/4/2019,2019,1,7,3.67,2.6,55.8,10,0,0,1,70.33291667,63.33291667,47.00435417,43.33435417,12.191,9.590999999,214.8882917,159.0882917,26.86250003,16.86250003,7.125,7.125,53.88541667,53.88541667,16.7525,15.7525
Saturday,1/5/2019,2019,1,8.01,3.69,3.1,62.75,10,0,30,1,63.33291667,55.32291667,43.33435417,39.64435417,9.590999999,6.490999999,159.0882917,96.33829166,16.86250003,6.862500029,7.125,7.125,53.88541667,23.88541667,15.7525,14.7525
Sunday,1/6/2019,2019,1,8.33,10.01,2.25,47.4,11,2,0,3,55.32291667,46.99291667,39.64435417,29.63435417,29.491,27.241,563.3382917,515.9382917,115.8625,104.8625,17.125,15.125,117.8854167,117.8854167,14.7525,11.7525
Monday,1/7/2019,2019,1,0,0,0,0,0,0,0,0,46.99291667,46.99291667,29.63435417,29.63435417,27.241,27.241,515.9382917,515.9382917,104.8625,104.8625,15.125,15.125,117.8854167,117.8854167,11.7525,11.7525
Tuesday,1/8/2019,2019,1,4.34,3.32,0,41.8,6,0,10,2,46.99291667,42.65291667,29.63435417,26.31435417,27.241,27.241,515.9382917,474.1382917,104.8625,98.86250003,15.125,15.125,117.8854167,107.8854167,11.7525,9.7525
Wednesday,1/9/2019,2019,1,3,1.33,2,64.8,24,3,10,1,42.65291667,39.65291667,26.31435417,24.98435417,27.241,25.241,474.1382917,409.3382917,98.86250003,74.86250003,15.125,12.125,107.8854167,97.88541667,9.7525,8.7525
Thursday,1/10/2019,2019,1,8,3.58,5.6,39.1,12,2,13,1,39.65291667,31.65291667,24.98435417,21.40435417,25.241,19.641,409.3382917,370.2382917,74.86250003,62.86250003,12.125,10.125,97.88541667,84.88541667,8.7525,7.7525
Friday,1/11/2019,2019,1,5.33,7.34,3,61.6,12,0,6,0,31.65291667,26.32291667,21.40435417,14.06435417,19.641,16.641,370.2382917,308.6382917,62.86250003,50.86250003,10.125,10.125,84.88541667,78.88541667,7.7525,7.7525
Saturday,1/12/2019,2019,1,6.66,7.02,5,74.5,21.2,0,10,0,26.32291667,19.66291667,14.06435417,7.044354167,16.641,11.641,308.6382917,234.1382917,50.86250003,29.66250003,10.125,10.125,78.88541667,68.88541667,7.7525,7.7525
Sunday,1/13/2019,2019,1,8.33,5.814,4.6,73,4,1,1,2,88.66291667,80.33291667,71.04435417,65.23035417,54.641,50.041,826.1382917,753.1382917,146.6625,142.6625,10.125,9.125,186.8854167,185.8854167,20.7525,18.7525
Monday,1/14/2019,2019,1,9,9.7,3,51,10,0,18,0,80.33291667,71.33291667,65.23035417,55.53035417,50.041,47.041,753.1382917,702.1382917,142.6625,132.6625,9.125,9.125,185.8854167,167.8854167,18.7525,18.7525
Tuesday,1/15/2019,2019,1,4.33,4.33,3.65,30.4,9,0,19,1,71.33291667,67.00291667,55.53035417,51.20035417,47.041,43.391,702.1382917,671.7382917,132.6625,123.6625,9.125,9.125,167.8854167,148.8854167,18.7525,17.7525
Wednesday,1/16/2019,2019,1,7.5,5.066,6,48.8,12,0,17,5,67.00291667,59.50291667,51.20035417,46.13435417,43.391,37.391,671.7382917,622.9382917,123.6625,111.6625,9.125,9.125,148.8854167,131.8854167,17.7525,12.7525
Thursday,1/17/2019,2019,1,5.34,3.68,3.7,55.6,10,3,8,1,59.50291667,54.16291667,46.13435417,42.45435417,37.391,33.691,622.9382917,567.3382917,111.6625,101.6625,9.125,6.125,131.8854167,123.8854167,12.7525,11.7525
Friday,1/18/2019,2019,1,6.33,6.439,4,27.8,13,0,24,2,54.16291667,47.83291667,42.45435417,36.01535417,33.691,29.691,567.3382917,539.5382917,101.6625,88.66250003,6.125,6.125,123.8854167,99.88541667,11.7525,9.7525
Saturday,1/19/2019,2019,1,7.02,8.391,5.5,77.4,9,0,1,3,47.83291667,40.81291667,36.01535417,27.62435417,29.691,24.191,539.5382917,462.1382917,88.66250003,79.66250003,6.125,6.125,99.88541667,98.88541667,9.7525,6.7525
